!	¡I
!!	¡I¡I
!!!	¡I¡I¡I
il dolore insopportabile di un padre distrutto...	¥i¼¦¦Ñª¨µh¤£±ı¥Í¡K¡K
il faudrait d‚tourner l'attention de ces deux vieux champignons.	±o·Q¿ìªk¤Ş¶}³o¨â­Ó¦ÑÀY¤l¡C
il gigante, a cui Š stata vietata l'entrata al villaGgio per le sue eccessive ubriacature, impedisce a tutti il passagGio. per avvicinarlo bisogna stordire momentaneamente il cane con un salame fatto scivolare lungo il solco della strada. solo un odorino di pasto caldo potr… metterlo di buon umore. dopo di che potranno dargli da bere e da mangiare.	¥¨¤H¦]¾K°s³Q¶ğÂÄº¸¤U¥O¤£­ã¶i§ø¡A¾×¦í©Ò¦³¤Hªº¥h¸ô¡C­n¾aªñ¥L¡A±o¥ı§â­»¸z¶ë¶i¸ô¤W§|¬}¡A°g©ü¾×¸ôªºª¯¡C¥u¦³¼öÄËÄË¶ºµæªº­»¨ı¯àÅı¥¨¤H¤ß±¡ÅÜ¦n¡A¤§«áªâ®æ´µ´µ©M·Å¥i¤~¯à½Ğ¥L¦Y³Ü¡C
ilnuovo re mangia solo questo! gliele infilo attraverso il buco delle scale	·s°ê¤ı¥u¦Y³o­Ó¡I§Ú±q¶¥±è¤Uªº¬}¶ë¶i¥h¡I
immangeable! infƒme! ces boulettes sont trop ‚pic‚es!	Ãø¦Y¦º¤F¡I³o¨Ç¦×¤Y»¶¹LÀY¤F¡I
immangiabili! schifose! queste polpette sono troppo saporite!	Ãø¦Y¦º¤F¡I³o¨Ç¦×¤Y»¶¹LÀY¤F¡I
in der umgebung des schlosses steht die welt auf dem kopf! wenn man in eine der tren des uhrenbaums eintritt, weiss man nie, wo man wieder herauskommen wird... damit die tr von tom, dem uhrmachermeister aufgemacht wird, muss man die aufmerksamkeit des brgermeisters mit einem ball ablenken. aber tom wird nur dann einen beweis seines kunst liefern, wenn sie das tickgerausch seiner uhr in eine melodie verwandeln, die kunstvoll von musikern aus wenigen noten komponiert wurde.	«°³ùªşªñ¥ş¶Ã¤F®M¡A¨«¶iÄÁ¾ğªºªù¡A¥X¨Ó·|¨ì­ş½Ö¤]»¡¤£·Ç¡C­nÅıÄÁ¿ö¤j®v´ö©i¶}ªù¡A±o¥ı¥Î®ğ²y¤Ş¶}§øªøªºª`·N¤O¡C¦ı´ö©i±oµ¥¥L­Ì§â®ÉÄÁ¨ë¦ÕªººwµªÁn´«¦¨´X¦ì¼Ö¤âÃĞªºµu¦±¡A¤~ªÖÅS¤@¤â¡C
in ordnung, rauschebart, aber dann auf, und zeige uns den weg!	¦n°ÕÄG¤l¨Ğ¡I§Ö«ü¸ô¡A°Ê°Ê¸£¡I
introbb	introbb
is there something else we have to do?	ÁÙ¯Ê¤°»òªF¦è¶Ü¡H
is there something still missing?	ÁÙ¯Ê¤°»òªF¦è¶Ü¡H
ist gelungen, dein portr„t! aber warum ist da ein marienk„fer, sag?	µe±o¤£¿ù¡AÃÀ³N®a¡I¨º¸Ì«ç»ò¦³°¦¿]ÂÎ¡H
it belongs to tom, our master clock- maker. give 2 short knocks on his door!	¨º¬OÄÁ¦K´ö©i®a¡A»´ºV¨â¤U´N¹ï¤F¡I
it wasn't really a pleasure, carnival! so bye-bye!	»{ÃÑ§A¯u°÷­Ë·°¡A¯ä¤¡¨¤¡AÙTÙT¡I
it's a bucket... so what?	³o¬O­Ó¦L³¹¡K¡K¨º¤S«ç¼Ë¡H
it's a fine picture, but why is that ladybird there?	µe±o¤£¿ù¡AÃÀ³N®a¡I¨º¸Ì«ç»ò¦³°¦¿]ÂÎ¡H
it's a fine picture, but why is that ladybug there?	µe±o¤£¿ù¡AÃÀ³N®a¡I¨º¸Ì«ç»ò¦³°¦¿]ÂÎ¡H
it's a nice candle but it's got no wicK...	º}«GªºÄúÀë¡A¥i±¤¨SÀëªä¡C
it's a nice candle, but it has no wicK...	º}«GªºÄúÀë¡A¥i±¤¨SÀëªä¡C
it's a seal... so what?	³o¬O­Ó¦L³¹¡K¡K¨º¤S«ç¼Ë¡H
it's a shrinking machine which the terrible demon forced me to make.	³o¬OÁY¤p¾÷¡A¬O¨º¥i©Èªº´cÅ]¹G§Ú³yªº¡I
it's a shrinking machine. that terrible demon forced me to buildit!	³o¬OÁY¤p¾÷¡A¬O¨º¥i©Èªº´cÅ]¹G§Ú³yªº¡I
it's at the end of the village, the house with the fountain...	¦b§ø¤lºÉÀY¡A¦³¼Q¬u¨º¶¡¡C
it's been a real pleasure, slimeball, but we have to go! bye-bye!	»{ÃÑ§A¯u°÷­Ë·°¡A¯ä¤¡¨¤¡AÙTÙT¡I
it's for a survey, can i ask you a few questions?	°µ­Ó°İ¨÷½Õ¬d¡A¯à°İ´X­Ó°İÃD¶Ü¡H
it's for a survey. can i ask you a few questions?	°µ­Ó°İ¨÷½Õ¬d¡A¯à°İ´X­Ó°İÃD¶Ü¡H
it's for an hourglass? right,so replace the clocks tock-tock with a melody!	­n¨Fº|¡H¦n¡A§âÄÁªººwµª´«¦¨±Û«ß§a¡I
it's hard! we get eaten all the time here. have you seen my brother?	­W°Ú¡I³o¸Ì¦Ñ¬O³Q¦Y¡I§A¨£¹L§Ú¥S§Ì¶Ü¡H
it's hard, we get eaten all the time here. have you seen my brother?	­W°Ú¡I³o¸Ì¦Ñ¬O³Q¦Y¡I§A¨£¹L§Ú¥S§Ì¶Ü¡H
it's not an impossibility, but to find it you need to have real sailor-muscle!	¤£¬O¨S¥i¯à¡A¦ı±o¦³¤ô¤âªº¦Ù¦×¤~¦æ¡I
it's not an impossibility, but to open them 'need to have real sailor-muscle!	¤£¬O¨S¥i¯à¡A¦ı±o¦³¤ô¤âªº¦Ù¦×¤~¦æ¡I
it's the first time i've seen a cockroach wearing sneakers & shades!	²Ä¤@¦¸¬İ¨ìÁ­½¸À¹¾¥Ãè¬ï²y¾c¡I
it's the first time i've seen a cockroach wearing trainers & raybans!	²Ä¤@¦¸¬İ¨ìÁ­½¸À¹¾¥Ãè¬ï²y¾c¡I
j'ai quelque part ici une mixture qui ,chauff‚e ,ouvre toutes les portes!	§Ú³o¦³²~ÃÄ¤ô¡A¥[¼ö«á¯à¥´¶}©Ò¦³ªºªù¡I
ja, die asche muss mit dem blasebalg wieder angefacht werden...	¹ï¡I­n¥Î­·½c§â¤õİµ©ô¡C
ja, ihr kommt mir gerade recht, mich juckt die gitarre, also ich kratz los!	¦n°Ú¦n°Ú¡I§Ú¤âÄo¥¿·Q¼u¦N¥L©O¡K¡K
jamais! par votre faute je me retrouve ici enferm‚ au royaume des morts!	¤£¡I§Ú·|§x¦b­ß¬É³£¬O§A­Ì®`ªº¡I
je connais cette affaire. C'est l'ignoble AMONIAK qui d‚tient l'enfant	§Úª¾¹D¡A¬O¥i´cªºªü¼¯¥§¨È§ì¨«ªº
je ne peux pas forger la cl‚ si vous ne me donnez pas son empreinte!	¨S¦³©İ¦L¡A§Ú¥´¤£¥XÆ_°Í¡I
je suis le vrai roi de ces lieux! seule ma couronne peut me rendre ma taille...	§Ú¤~¬O¯u¥¿ªº°ê¤ı¡I¬Ó«a¯àÅı§ÚÅÜ¦^­ì¼Ë¡I
just follow him, superman! he's in the land of gloom and doom now!	¶W¤H¡A§A¥u¯à¥h°l¥L°Õ¡I¥L²{¦b¦b­ß¬É¡I
kael aconseja a los gobliins que le den una golosina a la ninfa para que se¤ale la seta que hay que mostrarle a vivalzart, la garza mel¢mana e insomniaca, para que ‚sta abra su puerta. la miel, que se consigue introduciendo una flor en el refugio de la abeja, es el solo regalo que puede hacer que la ninfa perdone la interrupci¢n de su siesta.	³Íº¸«ØÄ³µ¹¤ôºëÆF¤@¥÷¦n®Æ¡A¦o´N·|«ü¥X¸Ó®³­ş¦·Ä¨Û£µ¹ºû¥Ë¥¾¯S¬İ¡A¨º°¦·RÅ¥­µ¼Ö¤S¥¢¯vªº»aÆO¤~ªÖ¶}ªù¡C¥u¦³¸Á»e¯àÅı¤ôºëÆF­ì½Ì³Q¥´ÂZ¤ÈºÎ¡A±o¥ı§âªá¶ë¶i¸ÁºÛ¤~®³±o¨ì¡C
kael advices the gobliins to give the nymph a tasty treat so she will indicate the right mushroom to show to vivalzart, (the music-loving and insomniac heron), so he will open his door. only honey, got by slipping a flower to the bee, will be an acceptable present for interrupting her siesta.	³Íº¸«ØÄ³µ¹¤ôºëÆF¤@¥÷¦n®Æ¡A¦o´N·|«ü¥X¸Ó®³­ş¦·Ä¨Û£µ¹ºû¥Ë¥¾¯S¬İ¡A¨º°¦·RÅ¥­µ¼Ö¤S¥¢¯vªº»aÆO¤~ªÖ¶}ªù¡C¥u¦³¸Á»e¯àÅı¤ôºëÆF­ì½Ì³Q¥´ÂZ¤ÈºÎ¡A±o¥ı§âªá¶ë¶i¸ÁºÛ¤~®³±o¨ì¡C
kael advises the gobliins to give the nymph a tasty treat so she will indicate the right mushroom to show to vivalzart, (the music-loving and insomniac heron), so he will open his door. only honey, got by slipping a flower to the bee, will be an acceptable present for interrupting her siesta.	³Íº¸«ØÄ³µ¹¤ôºëÆF¤@¥÷¦n®Æ¡A¦o´N·|«ü¥X¸Ó®³­ş¦·Ä¨Û£µ¹ºû¥Ë¥¾¯S¬İ¡A¨º°¦·RÅ¥­µ¼Ö¤S¥¢¯vªº»aÆO¤~ªÖ¶}ªù¡C¥u¦³¸Á»e¯àÅı¤ôºëÆF­ì½Ì³Q¥´ÂZ¤ÈºÎ¡A±o¥ı§âªá¶ë¶i¸ÁºÛ¤~®³±o¨ì¡C
kael advises the gobliins to give the nymph a tasty treat. she will then point out the right mushroom to show to vivalzart, so the mushroom and music loving heron will open his door. only honey, acquired by slipping a flower to the bee, will be an acceptable present for interrupting her siesta.	³Íº¸«ØÄ³µ¹¤ôºëÆF¤@¥÷¦n®Æ¡A¦o´N·|«ü¥X¸Ó®³­ş¦·Ä¨Û£µ¹ºû¥Ë¥¾¯S¬İ¡A¨º°¦·RÅ¥­µ¼Ö¤S¥¢¯vªº»aÆO¤~ªÖ¶}ªù¡C¥u¦³¸Á»e¯àÅı¤ôºëÆF­ì½Ì³Q¥´ÂZ¤ÈºÎ¡A±o¥ı§âªá¶ë¶i¸ÁºÛ¤~®³±o¨ì¡C
kael conseille aux gobliins de donner une friandise … la nymphe pour qu'elle indique le bon champignon … montrer … vivalzart, (le h‚ron m‚lomane et insomniaque) pour qu'il ouvre sa porte. seul du miel, obtenu en glissant une fleur dans le refuge de l'abeille, sera un pr‚sent suffisant pour se faire pardonner de la d‚ranger dans sa sieste.	³Íº¸«ØÄ³µ¹¤ôºëÆF¤@¥÷¦n®Æ¡A¦o´N·|«ü¥X¸Ó®³­ş¦·Ä¨Û£µ¹ºû¥Ë¥¾¯S¬İ¡A¨º°¦·RÅ¥­µ¼Ö¤S¥¢¯vªº»aÆO¤~ªÖ¶}ªù¡C¥u¦³¸Á»e¯àÅı¤ôºëÆF­ì½Ì³Q¥´ÂZ¤ÈºÎ¡A±o¥ı§âªá¶ë¶i¸ÁºÛ¤~®³±o¨ì¡C
kael consiglia ai gobliins di dare alla ninfa una ghiottoneria perch‚ indichi il fungo giusto da mostrare a vivalzart, l'airone melomane e insonne. solo il miele, ottenuto facendo scivolare un fiore nel nascondiglio dell'ape, sar… l'unico regalo adatto per farsi perdonare di aver disturbato la ninfa durante il suo pisolino.	³Íº¸«ØÄ³µ¹¤ôºëÆF¤@¥÷¦n®Æ¡A¦o´N·|«ü¥X¸Ó®³­ş¦·Ä¨Û£µ¹ºû¥Ë¥¾¯S¬İ¡A¨º°¦·RÅ¥­µ¼Ö¤S¥¢¯vªº»aÆO¤~ªÖ¶}ªù¡C¥u¦³¸Á»e¯àÅı¤ôºëÆF­ì½Ì³Q¥´ÂZ¤ÈºÎ¡A±o¥ı§âªá¶ë¶i¸ÁºÛ¤~®³±o¨ì¡C
kael r„t den gobliins, der nymphe einen kleinen lecker- bissen anzubieten, damit sie ihnen den pilz zeigt, der fr vivalzart (den reiher, der musik- liebhaber, und von schlaflosigkeit geplagt ist) bestimmt ist, damit er ihnen die tr ”ffnet. nur honig, den man erh„lt, wenn man eine blume in die behausung der biene gibt, w„re eine gabe, die es m”glich macht, seine vergebung dafr zu erlangen, das man seine siesta gest”rt hat!	³Íº¸«ØÄ³µ¹¤ôºëÆF¤@¥÷¦n®Æ¡A¦o´N·|«ü¥X¸Ó®³­ş¦·Ä¨Û£µ¹ºû¥Ë¥¾¯S¬İ¡A¨º°¦·RÅ¥­µ¼Ö¤S¥¢¯vªº»aÆO¤~ªÖ¶}ªù¡C¥u¦³¸Á»e¯àÅı¤ôºëÆF­ì½Ì³Q¥´ÂZ¤ÈºÎ¡A±o¥ı§âªá¶ë¶i¸ÁºÛ¤~®³±o¨ì¡C
kein vergngen, dich zu kennen,carnaval tschau! machen wir, dass wir wegkommen!	»{ÃÑ§A¯u°÷­Ë·°¡A¯ä¤¡¨¤¡AÙTÙT¡I
know, varlet, that i am a great king! it is the demon who keeps me locked up.	¯ä¤p¤l¡A§Ú¥i¬O°¶¤j°ê¤ı¡I´cÅ]§â§ÚÃö³o¡I
know, varlet, that i'm a great king. it is the demon who's keeping me locked up	¯ä¤p¤l¡A§Ú¥i¬O°¶¤j°ê¤ı¡I´cÅ]§â§ÚÃö³o¡I
komm schon runter, rotznase! meinst wohl wir h„tten sonst nichts zu tun...	§Ö¤U¨Ó¡A¯ä¤p¤l¡I§Ú­ÌÁÙ¦³¨Æ­n¿ì¡I
kommt nicht in frage, du kršmelmonster! hab gar keine lust, mit dir zu kommen!	·Q³£§O·Q¡A©Çª«¡I§Ú¤~¤£¸ò§A¨«¡I
kusch, gib pf”tchen, du missglckte ninja-schildkr™te!	½ö¤U¡A§A³o°¦°²§ÔªÌÀt¡I
l'est r‚ussi ton portrait l'artiste! pourquoi y-a-t'il une coccinelle l…?	µe±o¤£¿ù¡AÃÀ³N®a¡I¨º¸Ì«ç»ò¦³°¦¿]ÂÎ¡H
la douleur insupportable d'un pŠre effondr‚...	¥i¼¦¦Ñª¨µh¤£±ı¥Í¡K¡K
la herramienta contenida en el ba£l solo es accesible mediante la acci¢n conjunta de los dos gobliins. winkle lo abre valiendose de una imponente estrella de mar, mientras fingus recoge una muestra de su contenido desde la cubierta delantera. accede a ella gracias a la concha que est  al acecho del pez, el cual a su vez est  molesto por el movimiento del tim¢n, y atemorizado por una murena.	½c¤l¸Ìªº¤u¨ã±o¾a¨â°¦¤pºëÆF¦X§@¤~®³±o¨ì¡C·Å¥i¥Î¤@°¦¤j®ü¬P§â½c¤l¼À¶}¡Aªâ®æ´µ´µ«h±q«e¥ÒªO®³ªF¦è¡A¥L±o¾a¨©´ß¥h·m¨º±ø³½¡A³½·|³Q²ëªºÂ\°ÊÀ~¨ì¡A¤S³Q®üÅÁÀ~¤@¸õ¡A¤~·|¶Ã°ÊÅı¨©´ß±o¤â¡C
laissez-nous passer je vous prie!	«ô°UÅı§Ú­Ì¹L¥h°Õ¡I
lang lebe der k”nig! ich werde sofort jemand suchen, der dich da losbekommt!	°ê¤ı¸U·³¡I§Ú³o´N¥h§ä¤H¨ÓÀ°¦£¸Ñ¶}¥L¡I
lasciateci passare, vi prego!	«ô°UÅı§Ú­Ì¹L¥h°Õ¡I
lasst mich raus! lasst mich frei! da draussen wartet meine liebe auf mich	©ñ§Ú¥X¥h¡I©ñ§Ú¥X¥h¡I§Úªº·R¤H¦b¥~µ¥§Ú¡I
le Prince bouffon ayant absorb‚ un champignon soporifique entraine les gobliins dans son rˆve ludique. Pour le d‚gager de la bulle dans laquelle les gobliins auront pris soin de l'emprisonner, ils devront se procurer une ‚pingle en jouant de l'effet de catapulte d'un couvercle, aprŠs s'ˆtre positionn‚ dessus avec une boule de bowling.	¤p¤¡¤ı¤l¦Y¤FÁû°g¤ÛÄ¨Û£¡A§â¨â°¦¤pºëÆF©ì¶i¥Lªº¹CÀ¸¹Ú¸Ì¡C¥L­Ì±o¥ı§â¥LÃö¶iªwªw¸Ì¡A¦A·Q¿ìªk§Ë®Ú¦w¥ş§O°w©ñ¥L¥X¨Ó¡G½òµÛ«OÄÖ²y¯¸¤WÁç»\¡A§Q¥Î¼u¤O§â§O°w¼u¥X¨Ó¡C
le g‚ant, interdit de village par tazaar le magicien, suite … ses excŠs de beuverie, empˆche quiconque de sortir. pour l'approcher il faut momentan‚ment assommer le chien … l'aide du saucisson gliss‚ … travers une orniŠre de la route. seule une odeur de repas chaud pourra le mettre en de bonnes dispositions. aprŠs quoi fingus et winkle pourront lui donner … boire et … manger.	¥¨¤H¦]¾K°s³Q¶ğÂÄº¸¤U¥O¤£­ã¶i§ø¡A¾×¦í©Ò¦³¤Hªº¥h¸ô¡C­n¾aªñ¥L¡A±o¥ı§â­»¸z¶ë¶i¸ô¤W§|¬}¡A°g©ü¾×¸ôªºª¯¡C¥u¦³¼öÄËÄË¶ºµæªº­»¨ı¯àÅı¥¨¤H¤ß±¡ÅÜ¦n¡A¤§«áªâ®æ´µ´µ©M·Å¥i¤~¯à½Ğ¥L¦Y³Ü¡C
le nouveau roi ne mange que ‡a! je les glisse par le trou en bas des marches!	·s°ê¤ı¥u¦Y³o­Ó¡I§Ú±q¶¥±è¤Uªº¬}¶ë¶i¥h¡I
leave the village and go to the castle beware! a giant is blocking the road.	Â÷¶}§ø¤l©¹«°³ù¡I¤p¤ß°§¾j¥¨¤H¾×¸ô¡I
leave the village and go to the castle. beware! a giant is blocking the road.	Â÷¶}§ø¤l©¹«°³ù¡I¤p¤ß°§¾j¥¨¤H¾×¸ô¡I
les deux aventuriers descendirent dans les profondeurs insondables d'un monde sous-marin ‚trange et inconnu...	¨â¦ì«_ÀIªÌ¡A²`¤J­¯¥Í®ü©³¥@¬Éªº«Õ·t²`²W¡K¡K
les gobliins rentrŠrent triomphalement au village lorsqu'ils s'aper‡urent que le bouffon avait pris un air ‚trange...	¤pºëÆF³Í±Û¦^§ø¡A«o¨£¤p¤¡¯«¦â¦³²§¡K¡K
let us pass, please!	«ô°UÅı§Ú­Ì¹L¥h°Õ¡I
liberatemi! liberatemi! il mio amore mi sta aspettando!	©ñ§Ú¥X¥h¡I©ñ§Ú¥X¥h¡I§Úªº·R¤H¦b¥~µ¥§Ú¡I
lieben sie den neuen k™nig so sehr, dass sie mit soviel begeisterung malen?	§A­Ì³o»ò·R·s°ê¤ı¡Aµe±o³o»ò°_«l¡I
lieber herr, sie k”nnen uns sicher mit ihren einfluá helfen, oder?!?	¤j¤H³o»ò¦³¬£ÀY¡A¯à§_§U§Ú­Ì¤@Áu¤§¤O¡H
lieber uhrmachermeister, wir h„tte gern Einen beweis ihres grossen talents...	¿Ë·Rªº¤j®v¡A·Q¨£ÃÑ±zªº¤âÃÀ¡K¡K
lima	¾V¤M
long live the king! i'll go and find someone to help me release him!	°ê¤ı¸U·³¡I§Ú³o´N¥h§ä¤H¨ÓÀ°¦£¸Ñ¶}¥L¡I
los gobliins regresaron triunfalmente a la aldea. Entonces advirtieron que el buf¢n ten¡a una pinta extra¤a...	¤pºëÆF³Í±Û¦^§ø¡A«o¨£¤p¤¡¯«¦â¦³²§¡K¡K
los, kleiner, mssen wir den kran holen?	§ÖÂI°ÕÃi°©ÀY¡A¸Ó°_§É¤F¡I
lucky you've got my friend! a steady job, no worries!	¹B®ğ¯u¦n°Ú¡AªB¤Í¡IÃ­©w¤u§@¨S·Ğ´o¡K¡K
m'en parlez pas! mais vous, vous pouvez utiliser la carte magique pour ‡a!	§O´£¤F¡I¤£¹L§A­Ì¥i¥H¥ÎÅ]ªk¥d¡I
ma... c'Š un barlume di speranza!	¦ı¬OÁÙ¦³±Ï¡I
mach, dass du wegkommst, mini-goliath! siehst du nicht, dass ich hier bade?!?	ºu°Õ²Â³J¡I§A¾×¨ì¥ú¤F¡A¨S¬İ¨ì§Ú¦bªw¤ô¡H
mai! Š colpa vostra se mi ritrovo rinchiuso nel regno dei morti!	¤£¡I§Ú·|§x¦b­ß¬É³£¬O§A­Ì®`ªº¡I
mais tout n'est pas perdu!	¦ı¬OÁÙ¦³±Ï¡I
malgr‚ son ƒge avanc‚, il aencore le regard vif Lui!	¥L¦~¬öÁö¤j¡A²´¯«ÁÙ¬O«Ü¦³¯«¡I
manca ancora qualcosa?	ÁÙ¯Ê¤°»òªF¦è¶Ü¡H
materializzati da modemus, fingus e winkle appaiono nel villagGio contiguo al castello invaso da amoniak. i paesani fanno la faccia scura. il notabile Š l'unico a possedere un salame succulento. i due gobliins devono per forza rubarglielo. per questo bisogna addormentare il notabile con un fiore che avranno fatto crescere.	¼¯¼w©i´µ§âªâ®æ´µ´µ©M·Å¥i¶Ç°e¨ìªü¼¯¥§¨È¥e»âªº«°³ù®Çªº§ø¤l¡C§ø¥Á­Ó­Ó·T¬Ü­WÁy¡A¥u¦³§øªø¤â¤W¦³®Ú¬ü¨ı­»¸z¡AÁÙÅ@±oºòºòªº¡C¨â°¦¤pºëÆF±o·Q¿ìªk§Ë¨ì¤â¡G±o¥ıºØ¤@¦·ªá¡A¥Îªá§â§øªø°g©ü¡C
mein „rmster, wollen die sie etwa verspeisen?! Los, ich helf ihnen raus!!	¥i¼¦ªºªB¤Í¡A¥L­Ì·QµN¤F§A¡I§Ú­Ì±Ï§A
merci d'avoir ‚tanch‚ ma soif! toi, je te permets de monter sur ma main...	ÁÂÁÂ§A¸Ñ¤F§Úªº´÷¡IÅı§Aª¦¨ì§Ú¤â¤W¡K¡K
metti piuttosto in funzione il mantice e smettila di annoiarmi!	¥hİµ­·½c°Õ¡A§O¦b³o·Ğ§Ú¡I
mi dispiace! non ho tempo...	©êºp¡I§Ú¨SªÅ¡I
mica male il ritratto, artista! perch‚ mai c'Š una coccinella l…?	µe±o¤£¿ù¡AÃÀ³N®a¡I¨º¸Ì«ç»ò¦³°¦¿]ÂÎ¡H
mit allem gebhrenden Respekt muss ich sagen: sie sind gar nicht mein typ!	®¤§Úª½¨¥¡A§A¯uªº¤£¬O§Úªºµæ¡I
mit dem inhalt des schranks der wachleute ausgerstet, dessen schlssel dank des abdrucks und ein bisschen eisenabfall geschmiedet wurde, mssen die beiden den deckel des brunnens hochheben, indem sie schwarzy an den flaschenzug h„ngen. das klappt nur, wenn man ihn ablenkt: w„hrend fingus die kinnlade des monsters bewegt, muss WINKLE in sein maul sprechen. dann muss man den schwarzy so erschrecken, dass er das gleichgewicht verliert...	®³¨ìÄµ½ÃÂd¸ÌªºªF¦è«á¡A¥Î©İ¤Uªº¦L¤l¥´¤@§â¼oÅKÆ_°Í¡A§âªü¿Õ¸j¤Wµ±½L¡A´N¯à¼µ¶}¤«»\¡C±o¥ı¤À´²¥Lªºª`·N¤O¡Gªâ®æ´µ´µ¾ŞÁa©Çª«¤U¤Ú¡A·Å¥i±q¼L¸ÌÁ¿¸Ü¡C³Ì«á¦AÀ~¥L¤@¸õ¡AÅı¥L¯¸¤£Ã­ºL¤U¥h¡C
mit verlaub, verehrter herr, ihre lage ist nicht gerade beneidenswert!	®¤§Úª½¨¥¡A¥ı¥Í¡K¡K±z³o³B¹Ò¤£¤Ó§®¡I
modemus materializa a fingus y a winkleen el castillo tomado por amoniak.Los aldeanos est n cariacontecidos. el cacique es el £nico poseedor de un exquisito salchich¢n, que protege fer¢zmente de la codicia ajena. ambos gobliins tienen que hacerse con ‚l. para ello hay que dormir al cacique por medio de una flor que previamente habr n hecho crecer.	¼¯¼w©i´µ§âªâ®æ´µ´µ©M·Å¥i¶Ç°e¨ìªü¼¯¥§¨È¥e»âªº«°³ù®Çªº§ø¤l¡C§ø¥Á­Ó­Ó·T¬Ü­WÁy¡A¥u¦³§øªø¤â¤W¦³®Ú¬ü¨ı­»¸z¡AÁÙÅ@±oºòºòªº¡C¨â°¦¤pºëÆF±o·Q¿ìªk§Ë¨ì¤â¡G±o¥ıºØ¤@¦·ªá¡A¥Îªá§â§øªø°g©ü¡C
modemus materializes fingus and winkle in the village next to the castle taken over by amoniak. the villagers look unhappy. only the notable has a delicious sausage which he guards ferociously from the others. the two gobliins must get it. to do so, they have to put the notable to sleep with a flower that they will have carefully grown.	¼¯¼w©i´µ§âªâ®æ´µ´µ©M·Å¥i¶Ç°e¨ìªü¼¯¥§¨È¥e»âªº«°³ù®Çªº§ø¤l¡C§ø¥Á­Ó­Ó·T¬Ü­WÁy¡A¥u¦³§øªø¤â¤W¦³®Ú¬ü¨ı­»¸z¡AÁÙÅ@±oºòºòªº¡C¨â°¦¤pºëÆF±o·Q¿ìªk§Ë¨ì¤â¡G±o¥ıºØ¤@¦·ªá¡A¥Îªá§â§øªø°g©ü¡C
modemus materializes fingus and winkle in the village next to the castle that has been taken over by amoniak. the villagers look unhappy. only the notable has a delicious sausage which he guards ferociously from the others. the two gobliins must get it. to do so, they have to put the notable to sleep with a flower that they have carefully grown.	¼¯¼w©i´µ§âªâ®æ´µ´µ©M·Å¥i¶Ç°e¨ìªü¼¯¥§¨È¥e»âªº«°³ù®Çªº§ø¤l¡C§ø¥Á­Ó­Ó·T¬Ü­WÁy¡A¥u¦³§øªø¤â¤W¦³®Ú¬ü¨ı­»¸z¡AÁÙÅ@±oºòºòªº¡C¨â°¦¤pºëÆF±o·Q¿ìªk§Ë¨ì¤â¡G±o¥ıºØ¤@¦·ªá¡A¥Îªá§â§øªø°g©ü¡C
modemus mat‚rialise fingus et winkle dans le village jouxtant le chƒteau investi par amoniak. les villageois y font triste mine. Seul le notable d‚tient un succulent saucisson qu'il protŠge f‚rocement de la convoitise d'autrui. les deux gobliins doivent se l'approprier. pour ce faire, il faut endormir le notable grƒce … une fleur qu'il auront eu soin de faire pousser.	¼¯¼w©i´µ§âªâ®æ´µ´µ©M·Å¥i¶Ç°e¨ìªü¼¯¥§¨È¥e»âªº«°³ù®Çªº§ø¤l¡C§ø¥Á­Ó­Ó·T¬Ü­WÁy¡A¥u¦³§øªø¤â¤W¦³®Ú¬ü¨ı­»¸z¡AÁÙÅ@±oºòºòªº¡C¨â°¦¤pºëÆF±o·Q¿ìªk§Ë¨ì¤â¡G±o¥ıºØ¤@¦·ªá¡A¥Îªá§â§øªø°g©ü¡C
modemus mat‚rialise fingus et winkle dans le village jouxtant le chƒteau investi par amoniak. les villageois y font triste mine. Seul le notable d‚tient un succulent saucisson qu'il protŠge f‚rocement de la convoitise d'autrui. les deux gobliins doivent se l'approprier. pour ce faire, il faut endormir le notable grƒce … une fleur qu'ils auront eu soin de faire pousser.	¼¯¼w©i´µ§âªâ®æ´µ´µ©M·Å¥i¶Ç°e¨ìªü¼¯¥§¨È¥e»âªº«°³ù®Çªº§ø¤l¡C§ø¥Á­Ó­Ó·T¬Ü­WÁy¡A¥u¦³§øªø¤â¤W¦³®Ú¬ü¨ı­»¸z¡AÁÙÅ@±oºòºòªº¡C¨â°¦¤pºëÆF±o·Q¿ìªk§Ë¨ì¤â¡G±o¥ıºØ¤@¦·ªá¡A¥Îªá§â§øªø°g©ü¡C
modemus versetzt fingus und winkle ins dorf neben dem schloss das von amoniak besetzt wurde. die d”rfler sehen nicht gerade glcklich aus. nur der vornehme herr hat eine saftige wurst, die er rrgw”hnisch bewacht, damit keiner sie ihm klaut. die beiden gobliins Mssen sie in ihren besitz bringen. dafšr msssen sie den herren mit einer blume einschl„fern, die sie wachsen lassen mssen.	¼¯¼w©i´µ§âªâ®æ´µ´µ©M·Å¥i¶Ç°e¨ìªü¼¯¥§¨È¥e»âªº«°³ù®Çªº§ø¤l¡C§ø¥Á­Ó­Ó·T¬Ü­WÁy¡A¥u¦³§øªø¤â¤W¦³®Ú¬ü¨ı­»¸z¡AÁÙÅ@±oºòºòªº¡C¨â°¦¤pºëÆF±o·Q¿ìªk§Ë¨ì¤â¡G±o¥ıºØ¤@¦·ªá¡A¥Îªá§â§øªø°g©ü¡C
