# 由 tools/merge_units.py 從 translation/out/*.tsv 產生，**不要直接編輯這個檔**——下次合併會蓋掉。
!	！
!!	！！
!!!	！！！
carrying the contents of the guards' chest, the key to which is forged from scrap using the imprint, the gobliins must lift up the well cover by attaching schwarzy to the hoist. they can do this only by distracting him. while fingus makes the monster's jaws move, winkle talks through his mouth. then schwarzy must be frightened enough to lose his balance.	拿到警衛櫃裡的東西後，用拓下的印子打一把廢鐵鑰匙，把阿諾綁上絞盤，就能撐開井蓋。得先分散他的注意力：芬格斯斯操縱怪物下巴，溫可從嘴裡講話。最後再嚇他一跳，讓他站不穩摔下去。
carrying the contents of the guards' chest, whose key is to be forged from scrap using the imprint, the gobliins must lift up the well cover by attaching schwarzy to the hoist. they can do this only by distracting him. while fingus makes the monster's jaws move, winkle talks through his mouth. then schwarzy must be frightened enough to lose balance.	拿到警衛櫃裡的東西後，用拓下的印子打一把廢鐵鑰匙，把阿諾綁上絞盤，就能撐開井蓋。得先分散他的注意力：芬格斯斯操縱怪物下巴，溫可從嘴裡講話。最後再嚇他一跳，讓他站不穩摔下去。
carrying the contents of the guards' chest, whose key is to be forged from scrap, using the imprint, the gobliins must lift up the well cover by attaching schwarzy to the hoist. they can do this only by distracting him. while fingus makes the monster's jaws move, winkle talks through his mouth. then schwarzy must be frightened enough to lose balance.	拿到警衛櫃裡的東西後，用拓下的印子打一把廢鐵鑰匙，把阿諾綁上絞盤，就能撐開井蓋。得先分散他的注意力：芬格斯斯操縱怪物下巴，溫可從嘴裡講話。最後再嚇他一跳，讓他站不穩摔下去。
ce démon surgi du néant a détrôné notre bon roi et règne à sa place...	牠篡了王位，換自己當家……
certo che conosco il modo! bisogna fargli ingurgitare l'elisir della bontà	當然有辦法！讓他喝下仁慈藥水就行！
certo che lo amo! ha fatto di me il preparatore ufficiale di pranzi reali!	當然愛啊！他還封我當御用試菜官呢！
certo! ecco un pezzo che io stesso ho composto!	沒問題！這首是我自己寫的曲子……
cet enfant est possédé! je l'emmène dans mon laboratoire. il faut lui faire boire de l'eau de ma fontaine. prenez-en et rejoignez-moi!	這孩子中邪了！我帶他回實驗室。得讓他喝噴泉水，快去取水回來見我！
che cos'è mai questo? ne farei volentieri uno stuzzicadenti!	這是什麼？拿來當牙籤正好！
che cosa! si mangia sempre qui! ma ditemi non avete visto mio fratello?	苦啊！這裡老是被吃！你見過我兄弟嗎？
che testardi! d'accordo, potete entrare!	真是死纏爛打！好吧，進來吧。
che volete che me ne faccia di un segnalibro?	書籤要我拿來幹嘛！
cher artiste, voudriez-vous nous jouer un air de votre répertoire?	藝術家先生，能為我們演奏一曲嗎？
cher maître nous aimerions recevoir un témoignage de votre talent...	親愛的大師，想見識您的手藝……
cher monsieur vous avez l'air influent nous aiderez-vous dans notre quête?	大人這麼有派頭，能否助我們一臂之力？
come up here if you dare - that's what the carpet is for!	有種就上來啊，地毯就是幹這個用的！
come up here if you dare. that's what the carpet is for!	有種就上來啊，地毯就是幹這個用的！
comprendo. vais a liberar a ese pobre niño... ¡perdón por mi desconfianza!	啊，我懂了！你們要救那孩子，抱歉多疑了
con permiso, señor... ¡está vd mal, no tiene buena pinta...!	恕我直言，先生……您這處境不太妙！
conosco la vicenda. Il figliolo è prigioniero dell'ignobile amoniak.	我知道，是可惡的阿摩尼亞抓走的
conozco el asunto. es el innoble AMONIAK quien retiene al niño	我知道，是可惡的阿摩尼亞抓走的
cosa fate là dentro?	你在裡面幹嘛？
cosa stai aspettando scemo, la medaglia?	還等什麼，笨蛋，等發獎牌喔？
could you let us pass please?	可以讓我們過去嗎？
credi di poter uscire da qui? eh no! ecco la mia ultima vendetta!	你想逃出去？作夢！這是我最終的復仇！
crois-tu pouvoir sortir d'ici? nenni! c'est là ma vengeance ultime!	你想逃出去？作夢！這是我最終的復仇！
d'accord mais apporte-moi maintenant du bon picrate!	好啊，先拿好酒來！
d'accord mais donne-moi de quoi manger avant!	好啊，先給我東西吃！
d'accord petit gnome mais apporte-moi du bon picrate et de quoi manger!	好啊小矮子，先拿好酒來再說！
d'accordo piccolo gnomo, ma portami del buon vinello e qualcosa da mangiare!	好啊小矮子，先拿好酒來再說！
d'accordo, ma dammi prima qualcosa da mangiare!	好啊，先給我東西吃！
d'accordo, ma non vedo niente da quando amoniakmi ha rubato gli occhi!	我也想，但阿摩尼亞偷走我雙眼，看不見
d'accordo, ma portami del buon vinello!	好啊，先拿好酒來！
da seid ihr ja wieder zurück! nehmt die tür hier, dann kommt ihr zu tazaar...	你們回村子啦！這扇門通往塔薩爾！
dai scendi, moccioso! abbiamo altro da fare!	快下來，臭小子！我們還有事要辦！
dai, fannullone... In piedi e sbrigati!	快點啦懶骨頭，該起床了！
dai, muoviti montagna di carne!	快點動一動，你這座肉山！
dai, vattene brutta copia di una tartaruga ninja!	躺下，你這隻假忍者龜！
damn cheek! if i had one i'd really give it to you.	你這無禮鬼！有的話早就賞你一巴掌！
dank euch dafür, meinen durst gestillt zu haben. Kletter ruhig auf meine hand!	謝謝你解了我的渴！讓你爬到我手上……
das hätten wir! wir haben maloche für dich, ambossmeister!	好了！有活要給你做，藝術家！
das ist eine schÖne kerze! hat aber leider keinen docht...	漂亮的蠟燭，可惜沒燭芯。
das ist eine verkleinerungsmaschine, die der böse dämon mich zu bauen zwang!	這是縮小機，是那可怕的惡魔逼我造的！
das ist zu gefährlich! dem müssen wir richtig angst einjagen!	太冒險了！得再多嚇嚇他……
das kind ist besessen! _ ich bringe ihn in mein labor! der muss wasser von meinem springbrunnen bekommen - holt mir schnell davon und kommt zu mir	這孩子中邪了！我帶他回實驗室。得讓他喝噴泉水，快去取水回來見我！
das stück eisen da ist nutzlos, solang ich den schlÜsselabdruck nicht habe...	沒有鑰匙拓印，這堆廢鐵沒用！
das werkzeug in der truhe kann man nur durch koordination der beiden gobliins in die hand bekommen. winkle öffnet sie mithilfe des mächtigen seesterns und fingus holt den inhalt vom vorderdeck her heraus. Er kommt dorthin, wenn er das muscheltier benutzt, das den fisch fangen will, der seinerseits durch die bewegung des steuerruders und eine scharfzähnige muräne verwirrt und verängstigt ist.	箱子裡的工具得靠兩隻小精靈合作才拿得到。溫可用一隻大海星把箱子撬開，芬格斯斯則從前甲板拿東西，他得靠貝殼去搶那條魚，魚會被舵的擺動嚇到，又被海鰻嚇一跳，才會亂動讓貝殼得手。
de ningún modo, especie de monstruo! ¡no quiero ir contigo!	想都別想，怪物！我才不跟你走！
dear artist, could you play us one of your tunes?	藝術家先生，能為我們演奏一曲嗎？
dear master clockmaker, we'd like to see your talent at work...	親愛的大師，想見識您的手藝……
dear musician, could you play us one of your tunes?	藝術家先生，能為我們演奏一曲嗎？
dear sir, you look powerful, could you please help us in this quest?	大人這麼有派頭，能否助我們一臂之力？
dear sir, you look powerful. could you please help us in this quest?	大人這麼有派頭，能否助我們一臂之力？
debemos encontrar al hijo del rey angulafre, raptado por un demonio.	我們要找安哥拉菲王被擄走的兒子
deinen unbezahlbaren rat, verehrter magier! wohin sollen wir uns wenden?	多謝指點，該往哪走？
dem riesen ist der zugang zum dorf vom magier tazaar versperrt worden. er trank zuviel, und liess keinen der bewohner mehr hinaus. um sich ihm zu nähern, muss man den hund mit der wurst zeitweilig ausser gefecht setzen: wurst in das schlagloch auf der strasse schieben. nur der verlockende geruch und gedanke an ein warmes essen kann seine laune aufbessern! danach können fingus & winkle ihm speise und trank anbieten.	巨人因醉酒被塔薩爾下令不准進村，擋住所有人的去路。要靠近他，得先把香腸塞進路上坑洞，迷昏擋路的狗。只有熱騰騰飯菜的香味能讓巨人心情變好，之後芬格斯斯和溫可才能請他吃喝。
demasiado arriesgado. hay que asustarlo más.	太冒險了！得再多嚇嚇他……
denn zwei tapfere helden werden ihr glück wagen!	因為兩位大英雄要出馬了！
der heini ist immer noch zu wachsam - den Müssten wir anders beschäftigen!	這傢伙太警覺了，得引開他……
der neue könig isst sonst nichts! ich schieb'se ins loch unten an der treppe!	新國王只吃這個！我從階梯下的洞塞進去！
der vor schmerz gebrochene, untröstliche vater...	可憐老爸痛不欲生……
descolgadme y trataré a ese demonio como lo merece...	放我下來，讓我好好教訓那惡魔……
desde luego ¡pero vds sí que pueden utilizar la tarjeta mágica para ello!	別提了！不過你們可以用魔法卡！
desidera?	有什麼事嗎？
devi solo seguirlo, superman! ora si trova nel paese dei morti!	超人，你只能去追他啦！他現在在冥界！
dich will man wohl etwa auch fressen?	他們也想吃你？
die gobliins kehrten im triumph ins dorf zurÜck, als sie sahen, dass der narr ganz seltsam aussah ...	小精靈凱旋回村，卻見小丑神色有異……
dieser teufel hat unseren guten König entmachtet und regiert an seiner stelle	牠篡了王位，換自己當家……
dime maimónides, ¿no conoces una treta para hacer caer al demonio?	喂，愛因斯坦，你有沒有辦法困住那惡魔？
dimmi un po' Einstein, non conosceresti il modo per intrappolare quel demone?	喂，愛因斯坦，你有沒有辦法困住那惡魔？
dis-donc einstein, tu ne connaîtrais pas un truc pour piéger le démon?	喂，愛因斯坦，你有沒有辦法困住那惡魔？
dis-donc fainéant, t'as pas envie de nous gratter un p'tit air?	喂，懶骨頭，來一段音樂如何？
dis-donc minus laisse-moi tranquille! j'essaie d'oublier ma faim et ma soif!	喂，笨蛋！別煩我，我正忘記飢渴呢。
dites-voir la ménagère, vous n'auriez pas un panier?	喂，大嬸，有籃子借一下嗎？
do you live with your parents?	你還跟爸媽住喔？
dov'è l'uscita, ammasso d'ossa?!	出口在哪，骷髏堆？
dove vive un gigante orrendo incarnazione del male...	住著邪惡化身的惡魔……
dreadful demon who is the incarnation of all evil!	住著邪惡化身的惡魔……
dreadful demon who's the incarnation of all evil!	住著邪惡化身的惡魔……
du meinst vielleicht, du kämst hier wieder raus! vergiss es!ist meine rache	你想逃出去？作夢！這是我最終的復仇！
du vergeudest deine zeit, schwachkopf! hier gibt's doch bloss sanduhren...	白痴，別浪費時間，這裡只有沙漏……
due eroi di grande valore si lanciano nell'avventura!	因為兩位大英雄要出馬了！
dur! on nous bouffe constamment ici! Au fait vous n'avez pas vu mon frère?	苦啊！這裡老是被吃！你見過我兄弟嗎？
durchaus drin, kleiner, aber zum Öffnen braucht man da schon gute muskeln!	不是沒可能，但得有水手的肌肉才行！
décrochez-moi que je puisse corriger cedémon comme il le mérite...	放我下來，讓我好好教訓那惡魔……
délivrez-moi! délivrez-moi! mon amour m'attend au dehors!	放我出去！放我出去！我的愛人在外等我！
e adesso, nobile mago, che cosa possiamo fare?	尊貴的魔法師，現在我們能做什麼？
e allora fannullone, non vorresti strimpellarci un'arietta!	喂，懶骨頭，來一段音樂如何？
e allora, che cosa aspetti? forza, al lavoro!	還等什麼？快去做事，懶骨頭！
e allora, vecchi salami, perchéfate il muso?	你們兩個笨蛋幹嘛這樣瞪我？
e chi mi dice che volete andarci per dei giusti motivi?	誰說你們去那是有正當理由？
e mi mettessi qualcosa in tasca prima di mandar giù questa schifezza?	喝這鬼東西前，先拿個紀念品好了？
e perché dovrei aiutarti, insolente, con i tuoi modi così loschi...	死小子，我幹嘛幫你？你怪怪的……
ebBene eccovi di ritorno al villaggio! oltre questa porta, troverete Tazaar!	你們回村子啦！這扇門通往塔薩爾！
ebbene, piccoli gobliins! che cosa volete da me?	嘿，小鬼們，想幹嘛？
eccellente! mettetelo nella macchina che fa sogni in musica ,e assaggiatene!	太棒了！放進我的音樂造夢機，嚐一口！
ecco fatto! c'è del lavoro per te, artista!	好了！有活要給你做，藝術家！
ecco, vendiamo delle spazzole ...	其實，我們是來賣刷子的……
eh, amigo, ¿serías capaz de sacarle unos sonidos a tu mugidora?	嘿，能用你那破喇叭吹一下嗎？
ehi amico, sapresti tirar fuori un qualche suono dal tuo trombone?	嘿，能用你那破喇叭吹一下嗎？
ehi tipaccio,si sta meno bene qua che laggiù nel castello, eh?	喂，醜八怪，這裡可沒城堡舒服吧？
ehi voi del villaggio, conoscete la casa del signor tazaar?	喂！你知道塔薩爾大人住哪嗎？
ehi! mago, dacci un po' una mano. credi forse che sia facile?	巫師，幫個忙啦！你以為這很簡單啊？
ehi, credo che ci siamo lasciati dietro una cosa importante!	欸，我們好像忘了拿重要的東西！
ehi, onisco, prostrati davanti al tuo dio!	喂，蛆蟲，給我跪下拜你的神！
ehi, tu bell'ometto cosa fai appollaiato lassù?	喂，小傢伙，你站在上面幹嘛？
ehilà, vecchia foca, è modemus il magico che ci manda!	嘿，老海豹，摩德姆斯派我們來找你！
ein verhextes schloss in einer düsteren gegend...	荒地裡有座被詛咒的城堡
eine kerze... lohnt sich doch nicht, so einen grossen aufwand mit zu machen	一根蠟燭？沒什麼大不了的！
el Príncipe bufón, al ingerir un hongo soporífico, se lleva a los gobliins en su sueño lúdico. Para extraerlo de la burbuja en la cual ls gobliins han tomado la precaución de encerrarlo, tendrán que procurarse un imperdible valiendose del efecto de catapulta de una tapadera, colocandose encima con un bolo.	小丑王子吃了顆迷幻蘑菇，把兩隻小精靈拖進他的遊戲夢裡。他們得先把他關進泡泡裡，再想辦法弄根安全別針放他出來：踩著保齡球站上鍋蓋，利用彈力把別針彈出來。
el dolor insoportable de un padre abatido...	可憐老爸痛不欲生……
elgigante, que fue desterrado del pueblo por tazaar el mago, debido a sus constantes borra- cheras no deja salir a nadie. para acercarse a él hay que cargarsemomentáneamente al perro, lo cual se consigue atravesando el salchichón en uno de los pozos de la carretera. Solo el tufillo de una comida caliente puede ponerlo de buen humor. acto seguido fingus y winkle le podrán dar de beber y comer.	巨人因醉酒被塔薩爾下令不准進村，擋住所有人的去路。要靠近他，得先把香腸塞進路上坑洞，迷昏擋路的狗。只有熱騰騰飯菜的香味能讓巨人心情變好，之後芬格斯斯和溫可才能請他吃喝。
empruntez-donc le tapis pour venir me voir. D'ici je ne vous entends pas!	借地毯上來見我，這裡聽不清楚！
en los aledaños del castillo maldito todo está estropeado. al entrar por una de las puertas del arbol de los relojes, es difícil prever por dónde se saldrá... para hacer que se abra la puerta de tom, el maestro relojero, es preciso contar con la ayuda del alcalde, del que hay que llamar la atención. pero tom entregará a los gobliins un ejemplar de su saber sólo si sustituyen el tic-tac disonante del reloj por una melodía compuesta por músicos con talento.	城堡附近全亂了套，走進鐘樹的門，出來會到哪誰也說不準。要讓鐘錶大師湯姆開門，得先用氣球引開村長的注意力。但湯姆得等他們把時鐘刺耳的滴答聲換成幾位樂手譜的短曲，才肯露一手。
entschuldigen sie uns! aber wir müssen ihm helfen, wieder frei zu kommen!	抱歉，但你們得幫我們重獲自由！
es al final de la aldea, la casa con la fuente...	在村子盡頭，有噴泉那間。
es un sello... ¿que hay?	這是個印章……那又怎樣？
es una bonita vela pero no tiene mecha...	漂亮的蠟燭，可惜沒燭芯。
ese demonio surgido de nada destronó a nuestro buen rey y usurpa su trono.	牠篡了王位，換自己當家……
espèce d'insolent! si j'en avais un je te le flanquerais là où tu penses!	你這無禮鬼！有的話早就賞你一巴掌！
estimado seÑor, parece usted ser influyente ¿nos ayudará en la búsqueda?	大人這麼有派頭，能否助我們一臂之力？
et maintenant noble magicien que pouvons-nous faire?	尊貴的魔法師，現在我們能做什麼？
et pourquoi je t'aiderais insolent, avec tes manières plutôt louches...	死小子，我幹嘛幫你？你怪怪的……
excellent! mettez-le dans ma machine à faire des rêves en musique et goûtez!	太棒了！放進我的音樂造夢機，嚐一口！
excellent! put it in my musical dream machine and have a taste!	太棒了！放進我的音樂造夢機，嚐一口！
excellent! put it in my musical dream machine and taste!	太棒了！放進我的音樂造夢機，嚐一口！
excuse me, friend, the demon knocked me out. i have to recover.	抱歉朋友，我被惡魔打暈了，得緩緩……
excusez-moi ami, le démon m'a assommé. il faut que je récupère...	抱歉朋友，我被惡魔打暈了，得緩緩……
fatevi prestare il tappeto per venire a trovarmi. da qui non vi sento!	借地毯上來見我，這裡聽不清楚！
fehlt jetzt noch irgendwas?	還缺什麼東西嗎？
fermati brutto demonio! rendici il principe!	惡魔，站住！把小丑王子還給我們！
fingus & winkle benutzen die günstige bohnen stange zum run- terkommen..	順著巨豆藤爬下逃脫
fingus & winkle climb down the giant beanstalk provided by good fortune.	順著巨豆藤爬下逃脫
fingus & winkle climbed down this providen- tial giant beanstalk	順著巨豆藤爬下逃脫
fingus & winkle descendieron a lo largo de esa providencial judía gigante.	順著巨豆藤爬下逃脫
fingus & winkle descendirent le long de ce haricot géant providentiel!	順著巨豆藤爬下逃脫
fingus & winkle scesero lungo questo fagiolo gigante provvidenziale!	順著巨豆藤爬下逃脫
folg ihm ruhig nach, supermann! der ist jetzt im totenland!	超人，你只能去追他啦！他現在在冥界！
frecher kerl! wart nur, ich verpass' dir eine, die vergisst du nie mehr!	你這無禮鬼！有的話早就賞你一巴掌！
free me! free me! My love is waiting for me outside!	放我出去！放我出去！我的愛人在外等我！
free me! free me! My love waits for me outside!	放我出去！放我出去！我的愛人在外等我！
ganz schön hartnäckig! na, gut kommt schon rein!!!	真是死纏爛打！好吧，進來吧。
ganz und gar nicht, mein lieber, ich nehme bloss mein bad!	才沒有，老兄，我只是在洗澡而已。
gehen sie immer im evaskostÜm aus?	你都這樣光溜溜到處跑喔？
geht doch mal zu dem vogel gegenÜber: der hat 2 leidenschaften:musik & PIlzE!	去對面找那隻鳥，牠愛音樂和蘑菇！
geschafft! wir haben den prinzen! auf nimmerwiedersehn!euch grÜss ich nicht!	太好了！王子救回來了，我們閃啦！
get lost, pinhead! you're in my light, can't you see i'm taking a dip?	滾啦笨蛋！你擋到光了，沒看到我在泡水？
get lost, pinhead, you're in my light! can't you see i'm taking a dip?	滾啦笨蛋！你擋到光了，沒看到我在泡水？
go and see the bird over there! he has two passions: music and mushrooms.	去對面找那隻鳥，牠愛音樂和蘑菇！
go and see tom, our master clockmaker. he'll help you to pass the time...	去找鐘匠湯姆，他最懂打發時間……
go and work the bellows instead of annoying me!	去搧風箱啦，別在這煩我！
good morning ma'am, is it fine down there?	太太早安，下面天氣還好嗎？
good morning ma'am, is it nice down there?	太太早安，下面天氣還好嗎？
grazie d'aver placato la mia sete! ti permetto di salire sulla mia mano.	謝謝你解了我的渴！讓你爬到我手上……
greetings, blacksmith! we didn't find everything, but it's on it's way...	鐵匠你好，還沒找齊，但快了……
greetings, blacksmith, we didn't find everything, but it's on it's way...	鐵匠你好，還沒找齊，但快了……
greetings, noble scholar! Tell me, how does this machine work?	您好，尊貴的學者！這機器是做什麼用的？
guten tag, lieber baum! kÖnnten sie uns bitte ihren freundlichen rat geben?	嗨，樹伯伯，可以給個建議嗎？
habitado por un repugnante demonio, que encarna el mal.	住著邪惡化身的惡魔……
habité par un démon répugnant qui INCARNE le mal...	住著邪惡化身的惡魔……
habría que distraer la atención de los dos viejos hongos.	得想辦法引開這兩個老頭子。
hai avuto una bella fortuna, amico mio! un impiego sicuro e di tutto riposo!	運氣真好啊，朋友！穩定工作沒煩惱……
hallo schätzchen, wie wär's mit'm küsschen? kennst du 'ne abkürzung?	寶貝，想親一下嗎？你知道近路吧！
hallo, alter junge, pust uns doch mal ein paar katzenjammersymphonien!	嘿，能用你那破喇叭吹一下嗎？
hallo, du zwerg, was machst du denn schÖnes da oben?	喂，小傢伙，你站在上面幹嘛？
hallo, genosse beamter, was gibt's denn hier so sehenswertes?	嗨，公務員大人，這附近有什麼好看的？
hallo, herr baum, grÜss dich nochmals! dachte nicht,dich rasch wiederzusehen..	樹先生，又見面了！沒想到這麼快！
halt! stillgestanden, dämon! rück uns den prinzen raus!!!	惡魔，站住！把小丑王子還給我們！
halte-là démon! rends-nous le prince!	惡魔，站住！把小丑王子還給我們！
hartes los! wir werden hier am ständig vernascht! haste meinen bruder gesehen?	苦啊！這裡老是被吃！你見過我兄弟嗎？
hat sich doch gelohnt, mein herzchen! kannst nun meine muskulatur bewundern!	值得吧，寶貝，現在看到我的帥身材了！
he, du armselige küchenassel! verneig dich vor deinem herrn & gott!	喂，蛆蟲，給我跪下拜你的神！
he, du ekel! ist weniger komfortabel als unten im schloss, was meinst du?!?	喂，醜八怪，這裡可沒城堡舒服吧？
he, du gammelbruder, kratz uns doch mal was auf deiner zigarrenkistevor!	喂，懶骨頭，來一段音樂如何？
he, du wicht, laß mich in ruhe, will hunger und durst verschlafen!	喂，笨蛋！別煩我，我正忘記飢渴呢。
he, grüss dich kollege! hat's geklappt?	嘿，你好啊！有進展嗎？
he, sag mal einstein, kennst du nicht'n trick, um den dämonen reinzulegen?!?	喂，愛因斯坦，你有沒有辦法困住那惡魔？
he, zaubermeister, hilf uns gefälligst! so einfach, wie du glaubst, ist's nicht	巫師，幫個忙啦！你以為這很簡單啊？
helft mir! kann sie euch nicht zeigen, seit man mir das augenlicht wegnahm!	知道，但我眼睛被偷了，指不了路
help us find old angoulafre's kid!	幫我們找老安哥拉菲的小孩！
help us to get out of here, princess of the deep!	深海公主，幫我們離開這裡！
hey lazybone, how about some music?	喂，懶骨頭，來一段音樂如何？
hey lazybones, how about some music?	喂，懶骨頭，來一段音樂如何？
hey sporty, lovely weather for a game!	嗨，運動咖，今天真適合來一場！
hey ugly, you don't have it as good as up in the castle, do you?	喂，醜八怪，這裡可沒城堡舒服吧？
hey wizard, give us a hand! this isn't easy, you know!	巫師，幫個忙啦！你以為這很簡單啊？
hey wizard, give us a hand, it's not easy!	巫師，幫個忙啦！你以為這很簡單啊？
hey, could you give us a toot on your flute?	嘿，能用你那破喇叭吹一下嗎？
hey, dumbo! just leave me alone! i'm trying to forget my hunger and thirst.	喂，笨蛋！別煩我，我正忘記飢渴呢。
hey, einstein, could you give me something to trap the demon?	喂，愛因斯坦，你有沒有辦法困住那惡魔？
hey, hello again mister tree! didn't expect to see you again so soon!	樹先生，又見面了！沒想到這麼快！
hey, i think we left something important behind!	欸，我們好像忘了拿重要的東西！
hey, little gobliins, what d'ya want?	嘿，小鬼們，想幹嘛？
hey, little guy, what are you doing up there?	喂，小傢伙，你站在上面幹嘛？
hey, ugly, it's less friendly here than up in the castle, no?	喂，醜八怪，這裡可沒城堡舒服吧？
hey-eh, little guy, what are you doing up there?	喂，小傢伙，你站在上面幹嘛？
hi, my good mayor, what's to be seen around here?	嗨，公務員大人，這附近有什麼好看的？
hier, herr eisenkünstler, da sind beide dinge nun beisammen!	矮人兄弟，我們來了！兩樣都拿到了！
hilf uns hier raus, edle prinzessin der meerestiefen!	深海公主，幫我們離開這裡！
hilf uns, den rotzlöffel von angoulafre zu finden!	幫我們找老安哥拉菲的小孩！
hinter dem dorf geht zum schloss! aber vorsicht, ein reise bewacht den weg!	離開村子往城堡！小心飢餓巨人擋路！
hmmm! che aspetto succulento! sicuramente farà un buon arrosto!	嗯，你看起來很好吃，會是道美味烤肉！
ho qua una mistura che, una volta scaldata, apre tutte le porte	我這有瓶藥水，加熱後能打開所有的門！
hochverehrter bürgermeister, wem gehört das feine haus, das immer zu bleibt?	尊貴的村長，那間打死不開的房子是誰的？
hochverehrter magier, gewähre mir audienz!	尊貴的巫師，請容我們求見。
hola camarada funcionario ¿qué hay en este lugar que merezca visita?	嗨，公務員大人，這附近有什麼好看的？
hold it, demon! give us back the prince!	惡魔，站住！把小丑王子還給我們！
holà camarade fonctionnaire qu'est-ce qu'il y a à voir dans le coin?	嗨，公務員大人，這附近有什麼好看的？
horrible!wretched! inedible! these meat balls are much too spicy!	難吃死了！這些肉丸辣過頭了！
hé bien petits gobliins! que me voulez-vous?	嘿，小鬼們，想幹嘛？
hé bien vous voici revenus au village! Passez cette porte, elle mène à tazaar!	你們回村子啦！這扇門通往塔薩爾！
hé je crois qu'on a laissé derrière nous un truc important!	欸，我們好像忘了拿重要的東西！
hé l'affreux, c'est moins accueillant ici que là-bas au château hein?	喂，醜八怪，這裡可沒城堡舒服吧？
hé l'ami saurais-tu tirer quelques sons de ton beuglant?	嘿，能用你那破喇叭吹一下嗎？
hé le magicos aide-nous un peu! si tu crois que c'est facile...	巫師，幫個忙啦！你以為這很簡單啊？
i can't make the key if you don't give me it's imprint!	沒有拓印，我打不出鑰匙！
i due avventurieri discesero negli abissi insondabili di un mondo sottomarino strano e sconosciuto !	兩位冒險者，深入陌生海底世界的幽暗深淵……
i have here some magic water, if you heat it, it will open every door.	我這有瓶藥水，加熱後能打開所有的門！
i know about this. It's the ghastly amoniak who is holding the child.	我知道，是可惡的阿摩尼亞抓走的
i say, housewife, have you got a basket?	喂，大嬸，有籃子借一下嗎？
i tuoi consigli ci sono preziosi, nobile mago! Dove dobbiamo andare?	多謝指點，該往哪走？
i'd like to, but i can't see anything since amoniak robbed me of my eyesight	我也想，但阿摩尼亞偷走我雙眼，看不見
i'd like to, but i can't see anything since amoniak robbed me of my eyesight.	我也想，但阿摩尼亞偷走我雙眼，看不見
i'm fed up with going round in circles! show us the way out, centipede!	唉，繞圈繞煩了！蜈蚣，帶路出去！
i've got here some magic water, if you heat it, it'll open every door.	我這有瓶藥水，加熱後能打開所有的門！
ich bin hier der eigentliche herrscher! nur meine krone bringt mir meine grÖsse	我才是真正的國王！皇冠能讓我變回原樣！
ich bitt'sie, meine gnädigste, wo entlang geht's denn hier zum thronsaal?	拜託，夫人，請告訴我們去王座廳的路！
ich hab hier irgendwo 'ne aufgewärmte mixtur. Mach mal doch alle türen auf!	我這有瓶藥水，加熱後能打開所有的門！
ich kann den schlüssel nicht machen, wenn ihr mir den abdruck nicht gebt!	沒有拓印，我打不出鑰匙！
ich weiß bescheid: dieses ekel amoniak hält den prinzen gefangen.	我知道，是可惡的阿摩尼亞抓走的
ich wûrde ja schon gerne, aber ich seh nix, seitAMONIAK mich blind machte!	我也想，但阿摩尼亞偷走我雙眼，看不見
id a ver a tom, el maestro relojero, con él vais a pasar un buen rato...	去找鐘匠湯姆，他最懂打發時間……
if it's an hourglass you want, replace the clock's tick-tock with a melody!	要沙漏？好，把鐘的滴答換成旋律吧！
if you want to enter the castle, don't go by the door!	想進城堡，別走大門！
if you want to enter the castle, don't go through the door!	想進城堡，別走大門！
if you will allow me, sir, you don't look too comfortable there...	恕我直言，先生……您這處境不太妙！
il Principe buffone ha mangiato un fungo soporifero e trascina i gobliins nel suo sogno ludico. per liberarlo della bolla nella quale i gobliins l'hanno rinchiuso, hanno bisogno di procurarsi una spilla utilizzando l'effetto di catapulta del coperchio, dopo aver preso posizione sopra di esso grazie a una palla da bowling.	小丑王子吃了顆迷幻蘑菇，把兩隻小精靈拖進他的遊戲夢裡。他們得先把他關進泡泡裡，再想辦法弄根安全別針放他出來：踩著保齡球站上鍋蓋，利用彈力把別針彈出來。
il dolore insopportabile di un padre distrutto...	可憐老爸痛不欲生……
il faudrait détourner l'attention de ces deux vieux champignons.	得想辦法引開這兩個老頭子。
il gigante, a cui è stata vietata l'entrata al villaGgio per le sue eccessive ubriacature, impedisce a tutti il passagGio. per avvicinarlo bisogna stordire momentaneamente il cane con un salame fatto scivolare lungo il solco della strada. solo un odorino di pasto caldo potrà metterlo di buon umore. dopo di che potranno dargli da bere e da mangiare.	巨人因醉酒被塔薩爾下令不准進村，擋住所有人的去路。要靠近他，得先把香腸塞進路上坑洞，迷昏擋路的狗。只有熱騰騰飯菜的香味能讓巨人心情變好，之後芬格斯斯和溫可才能請他吃喝。
ilnuovo re mangia solo questo! gliele infilo attraverso il buco delle scale	新國王只吃這個！我從階梯下的洞塞進去！
immangeable! infâme! ces boulettes sont trop épicées!	難吃死了！這些肉丸辣過頭了！
immangiabili! schifose! queste polpette sono troppo saporite!	難吃死了！這些肉丸辣過頭了！
